Humid,Temp,Condition
25.57,34.02,0
25.53,34.02,0
25.59,34,0
25.73,34.02,0
25.77,34.02,0
25.69,34.02,0
25.37,33.97,0
25.48,34,0
25.65,34.02,0
25.65,33.98,0
25.44,34.02,0
25.75,34.02,0
25.44,34,0
25.6,34,0
25.65,34,0
25.4,34.02,0
25.61,34,0
25.5,34,0
25.55,34,0
25.57,34,0
25.54,33.98,0
25.66,34.06,0
25.57,34.06,0
25.68,34.21,0
25.47,34.33,0
25.52,34.44,0
25.67,34.52,0
25.52,34.57,0
25.63,34.67,0
25.51,34.69,0
25.52,34.61,0
25.51,34.53,0
25.52,34.46,0
25.72,34.29,0
25.66,34.21,0
25.51,34.12,0
25.56,34.08,0
25.59,34.08,0
25.64,34.12,0
25.57,34.16,0
25.33,34.31,0
25.56,34.38,0
25.6,34.52,0
25.58,34.53,0
25.64,34.63,0
25.54,34.59,0
25.6,34.46,0
25.28,34.33,0
25.43,34.21,0
25.52,34.12,0
25.53,34.08,0
25.52,34.04,0
25.56,34.04,0
25.49,34,0
25.55,34.04,0
25.47,34.08,0
25.43,34.17,0
25.48,34.29,0
25.55,34.38,0
25.7,34.44,0
25.39,34.52,0
25.54,34.53,0
25.48,34.5,0
25.47,34.44,0
25.51,34.36,0
25.43,34.31,0
25.54,34.25,0
25.57,34.21,0
25.54,34.19,0
25.48,34.16,0
25.64,34.14,0
25.69,34.12,0
27.1,39.74,1
26.94,39.75,1
27.05,39.75,1
26.67,39.76,1
26.02,39.78,1
25.57,39.79,1
25.09,39.8,1
24.81,39.82,1
24.5,39.84,1
24.21,39.85,1
24.21,39.86,1
22.15,40.11,1
22.55,40.12,1
22.17,40.13,1
21.7,40.13,1
21.31,40.12,1
20.95,40.12,1
20.65,40.11,1
20.48,40.11,1
19.83,40.34,1
19.84,40.35,1
19.83,40.35,1
19.74,40.36,1
20.77,41.76,1
20.4,41.76,1
20.05,41.78,1
19.7,41.77,1
19.45,41.74,1
19.31,41.73,1
19.26,41.75,1
19.23,41.77,1
19.04,41.94,1
18.96,41.94,1
18.97,41.94,1
19.12,41.95,1
19.39,41.99,1
19.92,42.04,1
20.16,42.1,1
20.23,42.14,1
20.2,42.2,1
20.03,42.22,1
15.97,44.24,1
15.89,44.23,1
15.82,44.21,1
15.8,44.21,1
15.73,44.21,1
14.96,44.03,1
14.98,44.02,1
15.04,44.01,1
15.15,44.01,1
15.3,44.02,1
15.35,44.01,1
15.21,44,1
15.12,43.96,1
19.76,47.32,1
20.65,47.81,1
19.68,48.33,1
19.46,48.73,1
18.72,48.88,1
18.17,48.77,1
17.5,48.52,1
18.2,48.46,1
17.74,48.67,1
16.88,48.65,1
16.8,48.45,1
16.71,48.16,1
16.96,47.93,1
17.05,47.72,1
17.47,47.51,1
17.57,47.39,1
17.46,47.35,1
16.92,48.3,1
15.9,48.28,1
15.65,48.17,1
15.56,48.09,1
15.33,48,1
15.99,47.98,1
16.2,48.2,1
16.51,48.37,1
16.74,48.65,1
15.33,48.42,1
15.35,48.3,1
14.87,48.17,1
14.43,48.04,1
14.5,47.91,1
14.36,47.86,1
14.43,47.82,1
14.82,47.89,1
14.95,48.02,1
15.06,48.11,1
15.41,48.26,1
15.38,48.37,1
15.68,48.41,1
16.8,48.79,1
